node1,node2,size
3535218,3380125,230
3535218,1904884,230
3535218,2983812,230
3535218,1639169,230
3535218,803165,230
3535218,1677446,230
3535218,3080830,230
3535218,2256190,230
3535218,2168448,230
3535218,2337170,230
3535218,3307154,230
3535218,3474059,230
3535218,515777,230
3535218,1873619,230
3535218,2568069,230
3535218,963042,230
3535218,2634975,230
3535218,2741664,230
3535218,1782354,230
3535218,1143543,230
3535218,2528148,230
1677446,3380125,230
1677446,1904884,230
1677446,2983812,230
1677446,1639169,230
1677446,803165,230
1677446,3535218,230
1677446,3080830,230
1677446,2256190,230
1677446,2168448,230
1677446,2337170,230
1677446,3307154,230
1677446,3474059,230
1677446,515777,230
1677446,1873619,230
1677446,2568069,230
1677446,963042,230
1677446,1974646,230
1677446,2634975,230
1677446,2741664,230
1677446,1782354,230
1677446,1143543,230
1677446,2528148,230
3307154,3380125,230
3307154,1904884,230
3307154,2983812,230
3307154,1639169,230
3307154,803165,230
3307154,3535218,230
3307154,1677446,230
3307154,3080830,230
3307154,2256190,230
3307154,2168448,230
3307154,2337170,230
3307154,3474059,230
3307154,515777,230
3307154,1873619,230
3307154,2568069,230
3307154,963042,230
3307154,2634975,230
3307154,2741664,230
3307154,1782354,230
3307154,1143543,230
3307154,2528148,230
3474059,3380125,230
3474059,1904884,230
3474059,2983812,230
3474059,1639169,230
3474059,803165,230
3474059,3535218,230
3474059,1677446,230
3474059,3080830,230
3474059,2256190,230
3474059,2168448,230
3474059,2337170,230
3474059,3307154,230
3474059,515777,230
3474059,1873619,230
3474059,2568069,230
3474059,963042,230
3474059,2634975,230
3474059,2741664,230
3474059,1782354,230
3474059,1143543,230
3474059,2528148,230
1974646,1677446,230
1904884,3380125,230
1904884,2983812,230
1904884,1639169,230
1904884,803165,230
1904884,3535218,230
1904884,1677446,230
1904884,3080830,230
1904884,2256190,230
1904884,2168448,230
1904884,2337170,230
1904884,3307154,230
1904884,3474059,230
1904884,515777,230
1904884,1873619,230
1904884,2568069,230
1904884,963042,230
1904884,2634975,230
1904884,2741664,230
1904884,1782354,230
1904884,1143543,230
1904884,2528148,230
2983812,3380125,230
2983812,1904884,230
2983812,1639169,230
2983812,803165,230
2983812,3535218,230
2983812,1677446,230
2983812,3080830,230
2983812,2256190,230
2983812,2168448,230
2983812,2337170,230
2983812,3307154,230
2983812,3474059,230
2983812,515777,230
2983812,1873619,230
2983812,2568069,230
2983812,963042,230
2983812,2634975,230
2983812,2741664,230
2983812,1782354,230
2983812,1143543,230
2983812,2528148,230
2256190,3380125,230
2256190,1904884,230
2256190,2983812,230
2256190,1639169,230
2256190,803165,230
2256190,3535218,230
2256190,1677446,230
2256190,3080830,230
2256190,2168448,230
2256190,2337170,230
2256190,3307154,230
2256190,3474059,230
2256190,515777,230
2256190,1873619,230
2256190,2568069,230
2256190,963042,230
2256190,2634975,230
2256190,2741664,230
2256190,1782354,230
2256190,1143543,230
2256190,2528148,230
2337170,3380125,230
2337170,1904884,230
2337170,2983812,230
2337170,1639169,230
2337170,803165,230
2337170,3535218,230
2337170,1677446,230
2337170,3080830,230
2337170,2256190,230
2337170,2168448,230
2337170,3307154,230
2337170,3474059,230
2337170,515777,230
2337170,1873619,230
2337170,2568069,230
2337170,963042,230
2337170,2634975,230
2337170,2741664,230
2337170,1782354,230
2337170,1143543,230
2337170,2528148,230
2568069,3380125,230
2568069,1904884,230
2568069,2983812,230
2568069,1639169,230
2568069,803165,230
2568069,3535218,230
2568069,1677446,230
2568069,3080830,230
2568069,2256190,230
2568069,2168448,230
2568069,2337170,230
2568069,3307154,230
2568069,3474059,230
2568069,515777,230
2568069,1873619,230
2568069,963042,230
2568069,2634975,230
2568069,2741664,230
2568069,1782354,230
2568069,1143543,230
2568069,2528148,230
2634975,3380125,230
2634975,1904884,230
2634975,2983812,230
2634975,1639169,230
2634975,803165,230
2634975,3535218,230
2634975,1677446,230
2634975,3080830,230
2634975,2256190,230
2634975,2168448,230
2634975,2337170,230
2634975,3307154,230
2634975,3474059,230
2634975,515777,230
2634975,1873619,230
2634975,2568069,230
2634975,963042,230
2634975,2741664,230
2634975,1782354,230
2634975,1143543,230
2634975,2528148,230
1639169,3380125,230
1639169,1904884,230
1639169,2983812,230
1639169,803165,230
1639169,3535218,230
1639169,1677446,230
1639169,3080830,230
1639169,2256190,230
1639169,2168448,230
1639169,2337170,230
1639169,3307154,230
1639169,3474059,230
1639169,515777,230
1639169,1873619,230
1639169,2568069,230
1639169,963042,230
1639169,2634975,230
1639169,2741664,230
1639169,1782354,230
1639169,1143543,230
1639169,2528148,230
1873619,3380125,230
1873619,1904884,230
1873619,2983812,230
1873619,1639169,230
1873619,803165,230
1873619,3535218,230
1873619,1677446,230
1873619,3080830,230
1873619,2256190,230
1873619,2168448,230
1873619,2337170,230
1873619,3307154,230
1873619,3474059,230
1873619,515777,230
1873619,2568069,230
1873619,963042,230
1873619,2634975,230
1873619,2741664,230
1873619,1782354,230
1873619,1143543,230
