node,Louvain,size
1269816,303069244,4
1755122,327181417,7
2469866,347109039,1
2885275,338818321,4
3801352,362856806,20
3801352,362856806,20
3705501,333524017,3
1692608,392170190,10
1669322,352438267,11
2659719,363914208,1
4240915,401606124,3
1483367,333465786,1
2695137,348255474,2
3727168,392176606,4
3407851,333523927,8
1880361,389151988,8
2743755,363968060,22
2743755,363968060,22
816841,365004860,3
2097518,333506514,5
3131114,327219046,3
819252,389025029,5
1631466,359792068,3
1858421,346066502,1
2500435,362826224,3
4001515,348135390,10
1976188,294754896,6
2201775,348129105,5
2553025,346089320,1
2452044,333556686,9
3033213,350259667,6
1619127,391126671,3
2901813,356552505,5
3114413,363968060,22
3114413,363968060,22
2213731,340802833,5
3951977,294742295,5
1439766,346094028,3
1957335,362812102,9
2518821,309439817,3
3052595,338782822,4
3753788,384954505,4
1318638,363931052,10
964003,348236099,20
964003,348236099,20
1900701,335675198,6
2087575,354470154,6
3444900,391195411,20
3444900,391195411,20
3837711,401694495,8
3738921,363968060,22
3738921,363968060,22
4154109,356553426,6
93303,346084194,2
2769587,392251060,7
460767,337729327,5
3834269,401727703,1
1052774,343967229,3
3523466,352396083,6
1704070,343960480,12
2564885,327206591,7
2491270,338695752,3
2120198,389076375,20
2120198,389076375,20
637768,384846964,2
3684303,363883150,25
3684303,363883150,25
271265,303055106,3
2804592,309354445,6
2479114,327225241,4
3236192,338750513,11
3564477,343985879,5
3937254,391195411,20
3937254,391195411,20
3004141,347145337,2
3002262,332505593,4
1618200,391214790,4
2320205,359723760,5
3997144,364912014,2
1454001,343992205,4
734100,308309488,20
734100,308309488,20
1744037,353401262,8
764319,349185642,5
1469808,359761791,3
3080830,401686965,23
3080830,401686965,23
1957167,352331943,6
1286975,363883150,25
1286975,363883150,25
2681459,391146446,13
470428,338720963,7
2029077,401686535,7
1066501,401717586,4
3108797,352451188,9
3190370,339766282,3
3801236,363887416,7
2302443,294766400,4
2768974,339798558,1
1302676,352350162,5
3573933,348223083,6
3907892,345093002,5
1375132,363963885,1
1320810,359743107,5
3526990,339799486,3
1421857,384877834,4
1425218,392221713,7
1941559,356587715,5
2377661,392223787,3
162203,384952378,6
2087094,332449908,3
3004522,356601079,12
3062929,308357417,1
3347260,308309488,20
3347260,308309488,20
3173718,352448850,6
1351478,349308680,6
581125,364993553,2
3805558,391157142,9
1201351,333523600,6
1861602,392176606,4
1796352,391204606,3
1716887,389134224,1
1373124,384937901,2
2523239,363968060,22
2523239,363968060,22
3675044,303050090,3
73481,389051937,5
1641499,354429635,2
3361980,294659944,3
2351418,349201614,4
2415467,349284407,9
1101912,346106868,4
3379673,353481037,7
3572898,345091231,5
2476077,389076375,20
2476077,389076375,20
4218679,349265677,4
2462930,347123804,8
2802654,346096386,2
422394,344993726,4
2129774,347157907,2
2532396,391135831,3
2639216,349224892,6
1519623,345093002,5
1237741,303134190,4
1015115,338778230,6
1592415,327188349,2
897415,391195411,20
897415,391195411,20
841244,348236099,20
841244,348236099,20
1278658,338739025,6
3182319,347178298,2
3148008,339813814,5
1330340,303143477,3
1978168,354513046,9
750782,327273003,1
2382749,353404028,6
3764041,353423765,1
1501301,401686463,6
1764963,363913185,9
3948447,303145927,6
1608939,338720963,7
3841597,363968060,22
3841597,363968060,22
1222318,303078485,11
898947,308410350,7
2605481,335638725,1
3678958,345051746,9
1849264,339858927,5
1704090,391195411,20
1704090,391195411,20
3012523,339828288,7
3474514,359715002,4
3396287,308410814,10
1052260,303142213,7
4140706,392249154,6
1078045,327269752,5
2968228,362849093,4
1898566,308341025,6
4037155,384943852,7
3827660,364929434,2
3173803,294660552,5
750695,327233957,7
659489,362856806,20
659489,362856806,20
2690774,389123456,8
2870943,391195411,20
2870943,391195411,20
3667700,392298598,2
3649315,391195411,20
3649315,391195411,20
3143369,401606344,3
2787571,384904130,4
1734228,348236099,20
1734228,348236099,20
1726695,333556686,9
4163317,335601683,1
4145956,337649222,8
2503269,354429303,9
1942163,352404976,3
4190443,308410814,10
897394,354477532,6
3730833,338763874,1
574405,354472760,4
3221900,308362751,5
239348,384890923,5
481555,401645035,7
2563111,327247466,2
3664756,345089171,4
3436648,294726398,7
4067250,332479511,7
1362238,332453395,5
2021633,359756520,5
3779155,345070451,5
