node,Louvain,Game
414926,384903244,893395429,1696456823,1733044130,2132291580
348161,352406722,972249091,1696456823
37151,327180476,175227487,267695549,558797228,609700427,926771636,1693050229,1970109802
12933,337773253,328178078,950328474,1667928394
870135,303059745,267695549,328178078,609700427,1929807318
859441,391219704,267695549
677215,349210365,926771636
777122,309386623,175227487,834001943,972249091,1970109802
568570,332472940,328178078,2132291580
562568,401620464,222473492,465979625,591405932,971220532,1696456823,1997201494,2030093255
558374,333556069,1794566092
1567589,352363052,175227487
520035,335583340,1696456823,1733044130
505760,356573452,558797228,1192666733,1777477395,2111829961
511447,354547752,144389848,175227487,342226876,609700427,629270283,834001943,1198088771,1846285148,1929807318,1994181526
1147779,348176056,175227487,285358298,1198088771
1145759,338803436,267695549,342226876,609700427,956568979,972249091,1790482525,2132291580
1098522,389028733,328178078,339148107,491582364,950328474,1777860928,1999574456,2030093255
1094451,354540216,267695549,342226876,680942588,1013969466,1733044130,1801948585,2132291580
2377295,350347409,2132291580
1870118,362863772,328178078,531971604,541339008,880031210,1696456823,2107898177
1939849,345105887,267695549
1840271,362895355,267695549,972249091,1849227144
1839323,335562138,401515813,687339341,1929807318,2043073184,2132291580
2779731,359744288,465979625,926771636,1696456823,1733044130
2756463,349224883,267695549,328178078,1696456823,1733044130
1356525,347150087,80579825,267695549,531437752,2107898177,2132291580
2731554,340896413,136002788,207015551,267695549,304932652,328178078,342226876,638965135,690285705,926771636,972249091,1717113201,1828326430,1970109802
2689925,337753823,148078765,219630713,328178078,609700427,972249091,1790482525,1929807318
1229642,294663123,267695549,1696456823,1733044130,2132291580
2349023,356594446,267695549,972249091
2282528,353489792,267695549
2262330,391168027,171869406,320504455,339148107,1694054782,1970109802,2107898177
2253939,401620347,328178078,893395429,972249091,1611051325,2132291580
2311297,309400933,328178078,332913499,609700427,821136798,972249091,1693050229
1472462,353386561,175227487,267695549,328178078,342226876,609700427,972249091,2107898177,2132291580
1426295,309398143,267695549,312881568,342226876,629270283,1828326430
1379951,349297444,267695549,328178078,972249091
1689768,339807260,175227487,308654313,328178078,756981192,1641777228,1728105232,1948147176,1960955312,2043073184,2096319922,2106872096
1686827,332505103,25952469,94618376,183968596,247774493,290870045,342226876,556718860,591405932,629270283,655591242,778803087,830649354,862712929,928467176,972249091,1047413393,1058433943,1790216132,1828326430,1841290462,1903122452,1925947069,2105342780
1667051,332418976,267695549,342226876
3525730,345098811,267695549,328178078,342226876,972249091,1013969466,1693050229,1828326430,1970109802,2132291580,2138304024
2187455,332479850,267695549,342226876,1828326430
2124267,350272349,267695549
2121879,337723725,175227487,328178078,609700427,704208617,1828326430,1929807318
2096196,364906791,1696456823
2993131,352450609,267695549
2506658,294660522,304932652,972249091,1693050229,1777477395,2030093255,2132291580
2471215,362859630,102425831,175227487,267695549,328178078,342226876,591405932,629270283,972249091,1828326430,2132291580
2450966,337740037,267695549,342226876,629270283,972249091,1178351949,1828326430,2014590773,2030093255,2068980019
2626091,345088658,175227487,267695549,893395429
2588996,333489270,267695549,609700427,831224608,945976112,1781365913,2030093255
2403721,332428028,102425831,267695549,609700427,926771636,940594756,2132291580
3823257,338732514,267695549
3394104,347157390,267695549,609700427,2132291580
2944755,349301408,972249091
