node1,node2
414926,363018
348161,1217353
37151,1929523
12933,457909
870135,2290534
870135,15137
870135,359652
859441,1920782
859441,3570271
859441,4132916
859441,1651333
859441,2900949
859441,3450897
859441,2332397
859441,1372527
859441,2298404
859441,667577
859441,431849
859441,1304454
859441,3296786
859441,3905599
859441,3609850
859441,3572421
859441,2308498
859441,2574794
859441,3213246
859441,2169669
859441,3460119
859441,2828000
859441,3154316
677215,2677893
777122,1085590
568570,1217353
562568,3458639
558374,1259412
1567589,1269876
1567589,78519
1567589,2200211
520035,1002337
520035,173844
520035,3968404
520035,2354162
505760,349579
511447,2349904
511447,1934758
511447,2671933
1147779,806788
1145759,1259412
1145759,692923
1145759,1136249
1098522,3252849
1094451,3241383
2377295,3149439
1870118,3776182
1939849,2187198
1939849,3862760
1939849,2915741
1939849,4182919
1939849,1182224
1939849,1925735
1939849,3574629
1939849,2764518
1939849,3144650
1939849,2065600
1939849,3564474
1939849,3730906
1939849,3421185
1939849,1401779
1939849,1951275
1939849,3043737
1939849,1701410
1840271,627004
1839323,699906
1839323,363018
2779731,575762
2779731,172243
2779731,815260
2779731,2220643
2779731,2469767
2756463,1710008
2756463,4039356
1356525,3050423
2731554,2677893
2689925,2118032
1229642,2590303
2349023,2783262
2282528,1999912
2262330,2587703
2253939,1009683
2311297,3115208
1472462,1259412
1472462,2212762
1472462,1136249
1426295,1928428
1426295,2776525
1379951,1448064
1379951,2617013
1379951,2879821
1379951,1449216
1379951,1476617
1379951,2506896
1689768,403041
1689768,886021
1689768,588720
1689768,2226766
1689768,439739
1689768,419560
1689768,656027
1689768,185568
1689768,15265
1689768,843347
1689768,3019938
1689768,4067133
1689768,842187
1686827,2677893
1667051,4234865
3525730,2825767
2187455,921576
2187455,607978
2124267,1217353
2121879,1281222
2096196,2260012
2993131,1259412
2993131,1808373
2506658,3966546
2471215,2208758
2450966,2469459
2626091,1527435
2588996,2881319
2403721,2879976
2403721,4046332
2403721,3738354
3823257,2187198
3823257,3862760
3823257,2915741
3823257,4182919
3823257,1182224
3823257,1925735
3823257,3574629
3823257,2764518
3823257,3144650
3823257,2065600
3823257,3564474
3823257,3730906
3823257,3421185
3823257,1401779
3823257,1951275
3823257,3043737
3823257,1701410
3394104,1030796
3394104,1470177
3394104,3385337
2944755,1742978
2898087,2960741
2898087,3427673
2898087,3365528
2887764,2242276
2878239,1903820
2878239,199171
2904805,1259412
2870354,4145806
2827419,728004
2827419,2084799
2827419,3939919
2827419,1901034
2827419,2729594
2827419,1324672
2827419,3214993
2827419,2474204
2827419,1858095
2827419,1563903
2827419,2520918
2827419,1983280
2827419,1885439
2827419,2921373
2827419,1224985
2827419,2486535
2827419,1411728
2808190,3713677
3890020,1779775
3914443,4173618
3914443,4149831
3238198,1813448
4204824,3601622
4204824,1315971
4204824,4088802
4204824,1320464
4204824,1322177
4204824,3891488
4204824,2444382
4204824,2189092
4204824,2310037
4204824,1835993
4204824,1294703
4204824,119336
4204824,4033109
4204824,3898149
4204824,1524988
4204824,130774
4204824,2384474
4204824,3100752
4204824,752516
4204824,3583999
3607308,3263398
3607308,4133772
3607308,1217353
3591068,2248239
3542989,1608327
3542989,3222879
3542989,1361730
3542989,3197623
3542989,3789256
3542989,1576646
3542989,2954631
3542989,2667263
3542989,2336413
3542989,3675337
3542989,3045486
3542989,658245
3542989,694673
3542989,3605200
3542989,2327318
3542989,310762
3542989,3338249
3686952,3676200
3686952,4099460
3686952,742987
3686952,3343813
3684083,3713677
3684083,1416799
3678582,2230384
3678582,4159299
3676468,3134747
3676468,3228005
357591,3942980
357591,437140
357591,2937967
357591,1079580
357591,2374505
357591,2262282
357591,628149
357591,2428036
357591,551260
357591,3881231
357591,367565
357591,42315
357591,925500
4096896,4114851
4100840,3690731
4019369,3762071
4019369,2005027
4019369,1281222
4019369,1681974
4019369,1866035
4019369,2251175
4019369,2589087
4019369,390090
4019369,818110
4019369,956354
4019369,2440222
4019369,2232918
4019369,4208994
89912,2147269
26612,313695
26612,1045706
26612,607254
26612,764812
26612,17746
26612,2458747
26612,1622282
26612,682289
26612,1182519
26612,183055
26612,2450715
26612,2785542
26612,317844
26612,3410090
201451,588720
611218,1594130
611218,724476
611218,460469
611218,872570
611218,1211172
611218,844775
611218,1025749
611218,3221136
565204,758022
565204,627004
565204,631027
546884,2049850
783879,4244911
725081,2589087
1196603,457909
909202,2960741
909202,925939
909202,2530739
909202,3365528
949234,2100054
839062,2658264
835569,185568
1086695,3458639
1038473,1092805
1496272,2710135
1496272,852751
1571679,699906
1552178,1829262
1532257,1669071
1411034,2871784
1404414,199171
1677701,4159299
2187950,1959310
2203402,2323731
2227106,1259412
2227106,1808373
2320297,4234865
1944792,363018
1913238,1669071
1913238,363018
1876926,4133611
2921869,1470177
2916630,1259412
2916630,1136249
1367458,3904791
1367458,776124
1367458,2990543
1367458,2038083
1367458,3769761
1367458,3913063
1367458,2692995
1367458,1287253
1334071,3601622
1334071,1315971
1334071,4088802
1334071,1320464
1334071,1322177
1334071,3891488
1334071,2444382
1334071,2189092
1334071,2310037
1334071,1835993
1334071,1294703
1334071,119336
1334071,4033109
1334071,3898149
1334071,1524988
1334071,130774
1334071,2384474
1334071,3100752
1334071,752516
1334071,3583999
1306177,1121078
1306177,588953
1306177,2515650
1306177,1110158
1306177,4025744
1306177,1644923
1350600,2141481
1272418,2230384
1272418,3676200
1272418,1750944
1272418,4099460
1272418,742987
1245431,2100054
2802658,1259412
2802658,1136249
2712018,2587703
2705825,1259412
2705825,1808373
2705825,1136249
2705825,3147036
2680234,2688000
2680234,3263398
2073040,699906
2073040,2165598
2073040,2951485
2073040,3279756
2073040,3385337
3270581,3958052
2003409,2643688
2003409,853757
1986723,439739
2087783,1470177
2087783,1217353
3496521,1750944
3496521,3343813
3496521,4159299
3436238,199171
3423490,2451923
2657388,3678665
2657388,1246243
2572426,3972253
2573193,3341720
3050022,3263398
3028645,2187605
2995261,937422
3862447,1473276
3855680,3050423
3855680,3974251
3855680,3618921
3855680,2451923
3958449,4234865
3962101,2141481
3194357,1972357
3180309,2617013
3154225,1476617
3239164,2349904
3239164,363018
3239164,1217353
3111503,3788430
3111503,1135271
3111503,1154286
3111503,1806984
4077432,1009683
3737357,1166310
3737357,2579674
391683,2677893
373104,562930
3729256,2741729
3693838,1669071
3664411,363018
3634210,2248239
4196442,3912634
4196442,1979905
4196442,2350623
4196442,2888646
4196442,612674
4196442,1062216
4167118,3228005
4116661,3974251
4116661,2590303
344382,686193
344382,1717996
344382,934412
344382,973675
310634,3458639
901035,2141481
901035,1448064
901035,2879821
901035,1476617
217227,2458366
217227,1925782
217227,3815257
852207,1166310
852207,2579674
818451,562930
818451,50695
818451,246257
818451,851284
818451,975753
208037,272556
1241084,2349904
1241084,3730128
632441,1859095
99342,457909
58353,2048425
1040537,2736525
723107,2783262
1484635,4159299
1405033,811326
1400178,2944852
541558,363018
595331,456681
1382194,3776182
1533143,3417528
2074314,2677893
1210368,1999912
1202667,1630449
1202667,3301158
1202667,812207
1202667,2195894
1202667,3902289
1202667,817364
1183195,1340180
2002620,1271811
2002620,322878
2002620,934412
2002620,973675
2002620,160148
1980572,2881319
1976871,4133772
2176564,2141481
2135864,3754284
1276449,2629249
1276449,3676866
1276449,3524724
1276449,3777376
1276449,1240507
1276449,1202767
1276449,903344
1276449,2653410
1276449,3486735
1276449,21685
1276449,4026401
1276449,988847
1276449,2344994
1276449,2027620
1276449,2590463
2660755,921576
2598626,3050423
2598626,819934
2598626,1155909
2598626,3967212
2598626,3618921
2598626,3974251
2598626,2451923
2598626,2260012
2598626,2590303
2598626,2479378
2654780,2616475
2654780,67368
2654780,766815
2654780,594141
2654780,3591670
2654780,3134747
2654780,2866619
2654780,446138
2654780,489099
2654780,3347159
2654780,3672032
2654780,390760
2654780,267081
2784202,551054
2784202,564337
2784202,2478041
2784202,2600051
2784202,130690
2784202,608225
2784202,615181
2784202,2678553
2784202,429964
2784202,1809106
2784202,981354
2784202,107418
2784202,834932
2775615,308616
2769794,2677893
2580026,1448064
2580026,2879821
2580026,1476617
1884459,2587703
1828330,359652
1689029,3228005
1689029,3591670
3136642,1669071
3227586,4159299
1787896,1470177
1666158,884073
1666158,2566850
1666158,2342084
1666158,4011193
1666158,4085147
1666158,1886549
1666158,3656086
1666158,2536116
1666158,2492557
1666158,1699711
1666158,3545504
1666158,1179306
1666158,257152
2320034,1030796
2320034,4133611
2295182,3614076
2295182,2521618
2295182,2551697
3376906,2349904
3376906,2671933
3340972,3263398
2469996,2677893
2469996,2944852
3933066,359652
3933066,2504252
2410852,2530739
3798878,1669071
3790942,1166310
3790942,3361920
3790942,599842
3790942,4158884
3790942,1316125
3790942,3389353
3790942,2579674
3778970,806788
3808408,3263398
3765014,2530739
87171,2947084
87171,1166310
87171,2579674
3527828,1048184
3527828,1280009
3462588,1626346
3462588,2728694
3462588,1904630
771839,3111506
757348,3462290
757348,730662
711243,1614769
472572,3958052
672832,806788
2829068,3690820
2829068,1339445
2829068,4038888
2829068,2969548
2829068,3831594
2829068,758914
2829068,3659923
2829068,3398226
2829068,572315
2829068,1105117
2829068,3203019
2829068,1698130
3578588,3050423
3677770,2118032
203469,3713677
194222,3601622
194222,1315971
194222,4088802
194222,1320464
194222,1322177
194222,3891488
194222,2444382
194222,2189092
194222,2310037
194222,1835993
194222,1294703
194222,119336
194222,4033109
194222,3898149
194222,1524988
194222,130774
194222,2384474
194222,3100752
194222,752516
194222,3583999
4208486,3219521
4208486,2589706
4208486,2110964
4208486,2368420
4208486,3485278
4208486,3200543
1447817,839369
906900,2518688
906900,2944852
4169247,3135547
4169247,3024010
4169247,2901802
4169247,887082
4169247,1940152
4169247,1389338
4169247,1512941
4169247,1057999
4169247,3124244
4169247,1521640
4169247,2419959
4169247,2549683
4162591,3500746
4162591,1166310
4162591,3361920
4162591,599842
4162591,4158884
4162591,3389353
4162591,2579674
4162591,853817
4085720,3215308
437551,1374287
1671745,2765580
1671745,3341720
1671745,4070234
1671745,3777965
1671745,1990601
1671745,3426718
346222,1880893
346222,42863
346222,1917555
346222,1471350
346222,2488970
346222,2333563
346222,2279665
346222,1225456
346222,2632516
346222,3603093
346222,1647569
346222,2821955
346222,668906
346222,3291146
582106,3111506
571939,2021518
571939,2950492
2686608,199171
2686608,3111506
2686608,1060116
2686608,3486735
2654564,699730
635661,731336
2649744,906349
2649744,478414
2649744,3441268
2649744,1085590
2649744,4194197
2649744,700709
2649744,3831552
2649744,2388507
2547055,2718846
2547055,4179116
2547055,3306526
2547055,3834027
2547055,4133611
2547055,895200
1225456,1647569
1225456,3291146
1225456,2821955
1225456,668906
1225456,42863
1225456,1917555
1225456,1471350
1225456,705354
1225456,1396515
1225456,2488970
1225456,2082673
1225456,2333563
1225456,2279665
1225456,1057577
1225456,2632516
1223929,3419482
2530745,1476617
2518590,2339333
2511305,617577
1115558,3050423
1115558,2278805
1115558,3974251
1115558,3618921
1115558,2451923
1115558,2590303
2429086,4234865
2503081,1720267
2503081,2337936
2503081,292288
2090366,4159299
2070769,2944852
2006178,1669071
2005219,3389353
2005219,2579674
2005219,4158884
1991234,3219521
1991234,2368420
1991234,3485278
3132182,1166310
3132182,2579674
985201,1028149
1665680,3676200
1665680,4099460
1665680,742987
1665680,4159299
1632970,826724
1609748,1259412
1598280,3678665
1556929,1742978
1550386,2579674
3710919,1677446
3710919,803165
3710919,515777
3710919,3535218
3710919,963042
3710919,3080830
3710919,3380125
3710919,2256190
3710919,1639169
3710919,1904884
3710919,1873619
3710919,2634975
3710919,2337170
3710919,3307154
3710919,2168448
3710919,1782354
3710919,2741664
3710919,2568069
3710919,2528148
3710919,3474059
3710919,1143543
3710919,2983812
3824649,1043006
1685864,3115208
2291718,3774597
2291718,3614076
2291718,3209101
2291718,2521618
2291718,2551697
4212301,627004
4190948,3250441
4182686,2048425
2217987,2387070
2198784,3327421
2230384,1476617
2230384,3156590
2230384,2506896
2230384,1448064
2230384,3915143
2230384,2387070
2230384,3831058
2230384,741813
2230384,2617013
2230384,839369
2230384,1449216
2230384,2879821
2189877,1136249
2189877,1136778
2544260,4169826
2544260,3022110
2544260,2999432
2544260,2803029
2544260,649598
2544260,2932845
2544260,2342084
2544260,868769
2544260,531217
2544260,2169935
2544260,767148
2544260,1525407
2544260,1412449
2544260,442308
