node,Louvain,size
3080830,435170445,230
3080830,435170445,230
3937254,424689174,200
3937254,424689174,200
1286975,397467346,250
1286975,397467346,250
3684303,397467346,250
3684303,397467346,250
734100,341903356,200
734100,341903356,200
3347260,341903356,200
3347260,341903356,200
3400086,396429401,200
3400086,396429401,200
2085894,341903356,200
2085894,341903356,200
3284264,396429401,200
3284264,396429401,200
1974646,435170445,230
1974646,435170445,230
3444900,424689174,200
3444900,424689174,200
3801352,396429401,200
3801352,396429401,200
3738921,397433133,220
3738921,397433133,220
2743755,397433133,220
2743755,397433133,220
3114413,397433133,220
3114413,397433133,220
2120198,422668327,200
2120198,422668327,200
964003,381751941,200
964003,381751941,200
3774597,422668327,200
3774597,422668327,200
377387,397433133,220
377387,397433133,220
3866857,397433133,220
3866857,397433133,220
3294178,397467346,250
3294178,397467346,250
2332397,424733440,240
2332397,424733440,240
1606252,341903356,200
1606252,341903356,200
1904884,435170445,230
1904884,435170445,230
2983812,435170445,230
2983812,435170445,230
1757902,424689174,200
1757902,424689174,200
3297714,396429401,200
3297714,396429401,200
4184965,397433133,220
4184965,397433133,220
2079856,397433133,220
2079856,397433133,220
1775098,396429401,200
1775098,396429401,200
3572421,424733440,240
3572421,424733440,240
2900949,424733440,240
2900949,424733440,240
2313557,341903356,200
2313557,341903356,200
4058592,381751941,200
4058592,381751941,200
2102397,422668327,200
2102397,422668327,200
1639169,435170445,230
1639169,435170445,230
1720267,396429401,200
1720267,396429401,200
2153047,396429401,200
2153047,396429401,200
1100867,397467346,250
1100867,397467346,250
1304454,424733440,240
1304454,424733440,240
2033469,341903356,200
2033469,341903356,200
2256190,435170445,230
2256190,435170445,230
3601622,425744181,200
3601622,425744181,200
3783737,422668327,200
3783737,422668327,200
1379991,341903356,200
1379991,341903356,200
3209898,341903356,200
3209898,341903356,200
3452410,341903356,200
3452410,341903356,200
3822037,396429401,200
3822037,396429401,200
208817,381751941,200
208817,381751941,200
543884,381751941,200
543884,381751941,200
2521618,422668327,200
2521618,422668327,200
2011480,424689174,200
2011480,424689174,200
1322177,425744181,200
1322177,425744181,200
3583999,425744181,200
3583999,425744181,200
4021325,397433133,220
4021325,397433133,220
1100572,397433133,220
1100572,397433133,220
2197902,397467346,250
2197902,397467346,250
807014,397467346,250
807014,397467346,250
486579,397467346,250
486579,397467346,250
404040,397467346,250
404040,397467346,250
1603970,381751941,200
1603970,381751941,200
2508880,381751941,200
2508880,381751941,200
1873619,435170445,230
1873619,435170445,230
4033109,425744181,200
4033109,425744181,200
130774,425744181,200
130774,425744181,200
3373068,397433133,220
3373068,397433133,220
2298404,424733440,240
2298404,424733440,240
3609850,424733440,240
3609850,424733440,240
2284837,397467346,250
2284837,397467346,250
1969427,396429401,200
1969427,396429401,200
2141781,424689174,200
2141781,424689174,200
2310037,425744181,200
2310037,425744181,200
2177839,397433133,220
2177839,397433133,220
859441,424733440,240
859441,424733440,240
1651333,424733440,240
1651333,424733440,240
3518677,341903356,200
3518677,341903356,200
517427,341903356,200
517427,341903356,200
3100752,425744181,200
3100752,425744181,200
834598,397467346,250
834598,397467346,250
3296786,424733440,240
3296786,424733440,240
1533579,381751941,200
1533579,381751941,200
2337170,435170445,230
2337170,435170445,230
1062887,424689174,200
1062887,424689174,200
2242503,397433133,220
2242503,397433133,220
2354915,396429401,200
2354915,396429401,200
2337936,396429401,200
2337936,396429401,200
3866996,424689174,200
3866996,424689174,200
3360075,424689174,200
3360075,424689174,200
4196034,341903356,200
4196034,341903356,200
3260003,381751941,200
3260003,381751941,200
3572554,396429401,200
3572554,396429401,200
963042,435170445,230
963042,435170445,230
1367553,424689174,200
1367553,424689174,200
1000886,397433133,220
1000886,397433133,220
2444711,397433133,220
2444711,397433133,220
3089178,397467346,250
3089178,397467346,250
3956127,397467346,250
3956127,397467346,250
3202064,397467346,250
3202064,397467346,250
3644607,397467346,250
3644607,397467346,250
2574794,424733440,240
2574794,424733440,240
3395254,341903356,200
3395254,341903356,200
3535218,435170445,230
3535218,435170445,230
1677446,435170445,230
1677446,435170445,230
2444382,425744181,200
2444382,425744181,200
2560098,341903356,200
2560098,341903356,200
2272743,422668327,200
2272743,422668327,200
3579815,381751941,200
3579815,381751941,200
2189092,425744181,200
2189092,425744181,200
1315971,425744181,200
1315971,425744181,200
4088802,425744181,200
4088802,425744181,200
3440462,396429401,200
3440462,396429401,200
465839,397467346,250
465839,397467346,250
2169669,424733440,240
2169669,424733440,240
3154316,424733440,240
3154316,424733440,240
601501,341903356,200
601501,341903356,200
2911720,396429401,200
2911720,396429401,200
3517520,341903356,200
3517520,341903356,200
2736525,397433133,220
2736525,397433133,220
515777,435170445,230
515777,435170445,230
2294764,424689174,200
2294764,424689174,200
1418199,397467346,250
1418199,397467346,250
2537147,341903356,200
2537147,341903356,200
2568069,435170445,230
2568069,435170445,230
292288,396429401,200
292288,396429401,200
983170,397467346,250
983170,397467346,250
1296560,396429401,200
1296560,396429401,200
476836,381751941,200
476836,381751941,200
2528148,435170445,230
2528148,435170445,230
2954977,397433133,220
2954977,397433133,220
752516,425744181,200
752516,425744181,200
3431959,422668327,200
3431959,422668327,200
3154501,424689174,200
3154501,424689174,200
3891488,425744181,200
3891488,425744181,200
1835993,425744181,200
1835993,425744181,200
119336,425744181,200
119336,425744181,200
2859748,422668327,200
2859748,422668327,200
3450897,424733440,240
3450897,424733440,240
2770695,381751941,200
2770695,381751941,200
3380125,435170445,230
3380125,435170445,230
1947155,424689174,200
1947155,424689174,200
4020681,341903356,200
4020681,341903356,200
562715,397467346,250
562715,397467346,250
667577,424733440,240
667577,424733440,240
439723,396429401,200
439723,396429401,200
1350039,424689174,200
1350039,424689174,200
3898149,425744181,200
3898149,425744181,200
1524988,425744181,200
1524988,425744181,200
896840,397433133,220
896840,397433133,220
4192625,422668327,200
4192625,422668327,200
554688,381751941,200
554688,381751941,200
4192852,422668327,200
4192852,422668327,200
1504269,397467346,250
1504269,397467346,250
2259400,424689174,200
2259400,424689174,200
1262713,397433133,220
1262713,397433133,220
2637324,397467346,250
2637324,397467346,250
431849,424733440,240
431849,424733440,240
2828000,424733440,240
2828000,424733440,240
3570271,424733440,240
3570271,424733440,240
4132916,424733440,240
4132916,424733440,240
803165,435170445,230
803165,435170445,230
3197190,397433133,220
3197190,397433133,220
3614076,422668327,200
3614076,422668327,200
3460119,424733440,240
3460119,424733440,240
1372527,424733440,240
1372527,424733440,240
629106,381751941,200
629106,381751941,200
2168448,435170445,230
2168448,435170445,230
1320464,425744181,200
1320464,425744181,200
3397609,397467346,250
3397609,397467346,250
529896,397467346,250
529896,397467346,250
2318666,397467346,250
2318666,397467346,250
3213246,424733440,240
3213246,424733440,240
3209101,422668327,200
3209101,422668327,200
567662,397433133,220
567662,397433133,220
3905599,424733440,240
3905599,424733440,240
2316707,381751941,200
2316707,381751941,200
2892490,381751941,200
2892490,381751941,200
3307154,435170445,230
3307154,435170445,230
3474059,435170445,230
3474059,435170445,230
2384474,425744181,200
2384474,425744181,200
3226930,422668327,200
3226930,422668327,200
1920782,424733440,240
1920782,424733440,240
2224147,341903356,200
2224147,341903356,200
376078,341903356,200
376078,341903356,200
610562,381751941,200
610562,381751941,200
1074688,422668327,200
1074688,422668327,200
3140722,397467346,250
3140722,397467346,250
2888248,381751941,200
2888248,381751941,200
2652682,422668327,200
2652682,422668327,200
3661661,422668327,200
3661661,422668327,200
2634975,435170445,230
2634975,435170445,230
1794475,424689174,200
1794475,424689174,200
1563527,424689174,200
1563527,424689174,200
2551697,422668327,200
2551697,422668327,200
3327421,396429401,200
3327421,396429401,200
2308498,424733440,240
2308498,424733440,240
2620149,381751941,200
2620149,381751941,200
328869,397467346,250
328869,397467346,250
3024069,422668327,200
3024069,422668327,200
3655642,422668327,200
3655642,422668327,200
897415,424689174,200
897415,424689174,200
3841597,397433133,220
3841597,397433133,220
841244,381751941,200
841244,381751941,200
2476077,422668327,200
2476077,422668327,200
2523239,397433133,220
2523239,397433133,220
1704090,424689174,200
1704090,424689174,200
3649315,424689174,200
3649315,424689174,200
2870943,424689174,200
2870943,424689174,200
659489,396429401,200
659489,396429401,200
1734228,381751941,200
