node,Louvain,size
2318666,363883150
2318666,363883150
146207,401655104
3397609,363883150
3397609,363883150
529896,363883150
529896,363883150
920332,401683069
565884,350304731
2463803,338720963
1711324,333495022
3644607,363883150
3644607,363883150
2275138,363878454
3956127,363883150
3956127,363883150
3202064,363883150
3202064,363883150
3089178,363883150
3089178,363883150
834598,363883150
834598,363883150
555394,345046068
1044894,343943919
1100867,363883150
1100867,363883150
2410089,391220049
1673735,332400750
1504269,363883150
1504269,363883150
1608939,338720963
414992,343943919
445210,337729327
1418199,363883150
1418199,363883150
1003621,364957865
1561419,362860339
3914050,294658139
1942163,352404976
481555,401645035
2563111,327247466
2681286,362860339
2853657,343955771
3294178,363883150
3294178,363883150
760485,389051988
2202692,389051988
416378,346030280
2354775,343955771
4090207,356559873
3383486,389051988
3088032,309426005
4099624,363872715
465839,363883150
465839,363883150
4199636,356541389
797553,303058067
404040,363883150
404040,363883150
1634859,389033256
1816897,337725360
2197902,363883150
2197902,363883150
807014,363883150
807014,363883150
3850607,343943919
486579,363883150
486579,363883150
2189466,392213778
609083,363878454
562715,363883150
562715,363883150
2156211,333576895
1016342,401636323
3131114,327219046
460767,337729327
1621142,392199890
2637324,363883150
2637324,363883150
4202283,391210886
3684303,363883150
3684303,363883150
1286975,363883150
1286975,363883150
470428,338720963
1033512,352439777
1944248,356547977
1000551,401645035
3184737,327219046
1029019,343971332
3111551,401645035
523075,356547977
1413220,335642908
298328,348250828
3455883,338720963
2354463,332460814
3930533,362860339
667473,327219046
1369150,401622368
992140,343955771
2284837,363883150
2284837,363883150
1977514,363986522
3140722,363883150
3140722,363883150
1443970,346079337
328869,363883150
328869,363883150
411345,348139199
838900,333463842
1641213,401636323
2538744,363986522
79100,349241941
1205597,401645035
2134915,348250828
968604,363986522
1672471,365009652
3420892,333463842
1077629,353495177
3253061,352404976
1017237,362860339
2189280,303066538
818307,332400750
983170,363883150
983170,363883150
3204752,359673730
1014673,309374748
1016,346149457
397248,362860339
3492008,401636323
1270709,384943561
830588,401666503
