node,Louvain,size
3140722,397467346,250
3140722,397467346,250
3380125,435170445,230
3380125,435170445,230
562715,397467346,250
562715,397467346,250
667577,424733440,240
667577,424733440,240
3535218,435170445,230
3535218,435170445,230
1677446,435170445,230
1677446,435170445,230
465839,397467346,250
465839,397467346,250
2169669,424733440,240
2169669,424733440,240
3154316,424733440,240
3154316,424733440,240
2736525,397433133,220
2736525,397433133,220
3307154,435170445,230
3307154,435170445,230
3474059,435170445,230
3474059,435170445,230
1920782,424733440,240
1920782,424733440,240
1974646,435170445,230
1974646,435170445,230
2634975,435170445,230
2634975,435170445,230
2308498,424733440,240
2308498,424733440,240
328869,397467346,250
328869,397467346,250
2741664,435170445,230
2741664,435170445,230
1782354,435170445,230
1782354,435170445,230
1143543,435170445,230
1143543,435170445,230
2168448,435170445,230
2168448,435170445,230
3397609,397467346,250
3397609,397467346,250
529896,397467346,250
529896,397467346,250
2318666,397467346,250
2318666,397467346,250
3213246,424733440,240
3213246,424733440,240
515777,435170445,230
515777,435170445,230
1418199,397467346,250
1418199,397467346,250
1639169,435170445,230
1639169,435170445,230
1100867,397467346,250
1100867,397467346,250
1304454,424733440,240
1304454,424733440,240
2256190,435170445,230
2256190,435170445,230
567662,397433133,220
567662,397433133,220
3905599,424733440,240
3905599,424733440,240
2568069,435170445,230
2568069,435170445,230
983170,397467346,250
983170,397467346,250
1904884,435170445,230
1904884,435170445,230
2983812,435170445,230
2983812,435170445,230
4184965,397433133,220
4184965,397433133,220
2079856,397433133,220
2079856,397433133,220
3572421,424733440,240
3572421,424733440,240
2900949,424733440,240
2900949,424733440,240
4021325,397433133,220
4021325,397433133,220
1100572,397433133,220
1100572,397433133,220
2197902,397467346,250
2197902,397467346,250
807014,397467346,250
807014,397467346,250
486579,397467346,250
486579,397467346,250
404040,397467346,250
404040,397467346,250
3450897,424733440,240
3450897,424733440,240
2528148,435170445,230
2528148,435170445,230
2954977,397433133,220
2954977,397433133,220
2177839,397433133,220
2177839,397433133,220
859441,424733440,240
859441,424733440,240
1651333,424733440,240
1651333,424733440,240
834598,397467346,250
834598,397467346,250
3296786,424733440,240
3296786,424733440,240
803165,435170445,230
803165,435170445,230
3197190,397433133,220
3197190,397433133,220
3460119,424733440,240
3460119,424733440,240
1372527,424733440,240
1372527,424733440,240
3080830,435170445,230
3080830,435170445,230
1286975,397467346,250
1286975,397467346,250
3684303,397467346,250
3684303,397467346,250
3841597,397433133,220
3841597,397433133,220
2523239,397433133,220
2523239,397433133,220
1873619,435170445,230
1873619,435170445,230
3373068,397433133,220
3373068,397433133,220
2298404,424733440,240
2298404,424733440,240
3609850,424733440,240
3609850,424733440,240
2284837,397467346,250
2284837,397467346,250
2337170,435170445,230
2337170,435170445,230
2242503,397433133,220
2242503,397433133,220
3738921,397433133,220
3738921,397433133,220
2743755,397433133,220
2743755,397433133,220
3114413,397433133,220
3114413,397433133,220
377387,397433133,220
377387,397433133,220
3866857,397433133,220
3866857,397433133,220
3294178,397467346,250
3294178,397467346,250
2332397,424733440,240
2332397,424733440,240
1262713,397433133,220
1262713,397433133,220
2637324,397467346,250
2637324,397467346,250
431849,424733440,240
431849,424733440,240
2828000,424733440,240
2828000,424733440,240
3570271,424733440,240
3570271,424733440,240
4132916,424733440,240
4132916,424733440,240
896840,397433133,220
896840,397433133,220
1504269,397467346,250
1504269,397467346,250
963042,435170445,230
963042,435170445,230
1000886,397433133,220
1000886,397433133,220
2444711,397433133,220
2444711,397433133,220
3089178,397467346,250
3089178,397467346,250
3956127,397467346,250
3956127,397467346,250
3202064,397467346,250
3202064,397467346,250
3644607,397467346,250
3644607,397467346,250
2574794,424733440,240
2574794,424733440,240
4047690,435250053,8.04769
3472723,422667562,4.47272
3897992,380753867,10.898
3794173,383810864,4.79417
1205597,435236127,8.2056
2134915,381712331,8.13491
3071355,424713383,12.0714
968604,397460132,3.9686
3248474,383783084,4.24847
353433,418432990,6.35343
3706882,342921122,9.70688
811735,369217358,1.81174
1551379,328316961,4.55138
2426047,380701163,10.426
1546600,341840821,2.5466
311195,342976502,7.31119
1455559,397455732,6.45556
2829231,383869364,7.82923
1155300,369219047,3.1553
3866397,374423234,4.8664
761958,388069887,6.76196
640940,397516901,2.64094
1033512,385891302,6.03351
3481055,378624813,9.48105
1944248,390183536,9.94425
1434925,422690177,5.43492
543915,382852910,1.54392
1670875,360736566,3.67088
2301288,336666542,3.30129
1705304,381734400,6.7053
2794688,390135319,6.79469
1977514,397460132,4.97751
992140,377537491,3.99214
