node,Louvain,size
1606252,308309488,200
1606252,308309488,200
3774597,389076375,200
3774597,389076375,200
3294178,363883150,250
3294178,363883150,250
2332397,391219704,240
2332397,391219704,240
3866857,363968060,220
3866857,363968060,220
377387,363968060,220
377387,363968060,220
2444382,392248348,200
2444382,392248348,200
3535218,401686965,230
3535218,401686965,230
3579815,348236099,200
3579815,348236099,200
2560098,308309488,200
2560098,308309488,200
1677446,401686965,230
1677446,401686965,230
2272743,389076375,200
2272743,389076375,200
1920782,391219704,240
1920782,391219704,240
1074688,389076375,200
1074688,389076375,200
3307154,401686965,230
3307154,401686965,230
2384474,392248348,200
2384474,392248348,200
3226930,389076375,200
3226930,389076375,200
3474059,401686965,230
3474059,401686965,230
376078,308309488,200
376078,308309488,200
2224147,308309488,200
2224147,308309488,200
610562,348236099,200
610562,348236099,200
3570271,391219704,240
3570271,391219704,240
431849,391219704,240
431849,391219704,240
2637324,363883150,250
2637324,363883150,250
4132916,391219704,240
4132916,391219704,240
1262713,363968060,220
1262713,363968060,220
2828000,391219704,240
2828000,391219704,240
2259400,391195411,200
2259400,391195411,200
3209898,308309488,200
3209898,308309488,200
1379991,308309488,200
1379991,308309488,200
3783737,389076375,200
3783737,389076375,200
3452410,308309488,200
3452410,308309488,200
3601622,392248348,200
3601622,392248348,200
543884,348236099,200
543884,348236099,200
2256190,401686965,230
2256190,401686965,230
3822037,362856806,200
3822037,362856806,200
208817,348236099,200
208817,348236099,200
3209101,389076375,200
3209101,389076375,200
3905599,391219704,240
3905599,391219704,240
567662,363968060,220
567662,363968060,220
2316707,348236099,200
2316707,348236099,200
2892490,348236099,200
2892490,348236099,200
2337170,401686965,230
2337170,401686965,230
2354915,362856806,200
2354915,362856806,200
1062887,391195411,200
1062887,391195411,200
2242503,363968060,220
2242503,363968060,220
3260003,348236099,200
3260003,348236099,200
4196034,308309488,200
4196034,308309488,200
3866996,391195411,200
3866996,391195411,200
2337936,362856806,200
2337936,362856806,200
3360075,391195411,200
3360075,391195411,200
3572554,362856806,200
3572554,362856806,200
1704090,391195411,200
1704090,391195411,200
659489,362856806,200
659489,362856806,200
2870943,391195411,200
2870943,391195411,200
3649315,391195411,200
3649315,391195411,200
1734228,348236099,200
1734228,348236099,200
2741664,401686965,230
2741664,401686965,230
1782354,401686965,230
1782354,401686965,230
3850540,362856806,200
3850540,362856806,200
1294703,392248348,200
1294703,392248348,200
1143543,401686965,230
1143543,401686965,230
1372527,391219704,240
1372527,391219704,240
3614076,389076375,200
3614076,389076375,200
3197190,363968060,220
