node,Louvain,size
414926,384903244,11
348161,352406722,9
37151,327180476,3
12933,337773253,2
870135,303059745,7
859441,391219704,24
859441,391219704,24
677215,349210365,5
777122,309386623,16
777122,309386623,16
568570,332472940,1
562568,401620464,7
558374,333556069,6
1567589,352363052,7
520035,335583340,2
505760,356573452,2
511447,354547752,3
1147779,348176056,6
1145759,338803436,13
1098522,389028733,10
1094451,354540216,3
2377295,350347409,10
1870118,362863772,8
1939849,345105887,1
1840271,362895355,4
1839323,335562138,2
2779731,359744288,17
2779731,359744288,17
2756463,349224883,4
1356525,347150087,10
2731554,340896413,5
2689925,337753823,1
1229642,294663123,3
2349023,356594446,7
2282528,353489792,7
2262330,391168027,4
2253939,401620347,16
2253939,401620347,16
2311297,309400933,3
1472462,353386561,6
1426295,309398143,7
1379951,349297444,6
1689768,339807260,16
1689768,339807260,16
1686827,332505103,3
1667051,332418976,7
3525730,345098811,8
2187455,332479850,6
2124267,350272349,5
2121879,337723725,6
2096196,364906791,12
2993131,352450609,5
2506658,294660522,8
2471215,362859630,7
2450966,337740037,6
2626091,345088658,3
2588996,333489270,10
2403721,332428028,6
3823257,338732514,3
3394104,347157390,2
2944755,349301408,1
2898087,391229769,1
2887764,345039945,4
2878239,339767569,7
2904805,339752389,7
2870354,356520694,5
2827419,392233616,18
2827419,392233616,18
2808190,352328138,5
3890020,338691760,4
3914443,345047380,1
3238198,294656626,2
4204824,362845584,7
3607308,343959370,7
3591068,362819031,10
3542989,354527398,4
3686952,345075241,6
3684083,359693427,5
3678582,338734471,3
3676468,303052313,10
357591,359787054,5
4096896,333498512,9
4100840,389121174,2
4019369,339812270,2
89912,335568605,4
26612,333566571,17
26612,333566571,17
201451,359683749,2
611218,349281318,1
565204,333460820,9
546884,303058567,3
783879,339790047,6
725081,352380152,2
1196603,352454304,9
909202,333502838,8
949234,294693280,6
839062,347128977,10
835569,340874172,9
1086695,308287579,11
1038473,335620900,6
1496272,308384715,3
1571679,359706365,4
1552178,353498787,3
1532257,354447832,6
1411034,345050651,8
1404414,343978657,2
1677701,350237654,4
2187950,294660950,8
2203402,344004040,6
2227106,294661122,7
2320297,354455679,4
1944792,308395441,2
1913238,353462193,10
1876926,347161133,5
2921869,356629673,4
2916630,401663489,9
1367458,346097837,1
1334071,362842600,8
1306177,401735684,8
1350600,345036132,1
1272418,339823475,5
1245431,352402193,5
2802658,333491806,7
2712018,345003273,6
2705825,332527467,7
2680234,338803928,4
2073040,344036281,4
3270581,308283064,3
2003409,346054704,4
1986723,346076114,5
2087783,392275674,8
3496521,348222989,8
3436238,340876469,7
3423490,359788966,3
2657388,389090672,8
2572426,294695786,4
2573193,339835007,8
3050022,384862047,9
3028645,346097537,5
2995261,359695510,5
3862447,353394082,6
3855680,384843352,5
3958449,392170683,7
3962101,389133898,3
3194357,350343971,3
3180309,340791130,5
3154225,392287510,7
3239164,401681835,8
3111503,347082422,16
3111503,347082422,16
4077432,340864595,6
3737357,364977979,2
391683,362886855,2
373104,359746110,6
3729256,303058922,7
3693838,343985152,1
3664411,344982779,9
3634210,356622142,2
4196442,332455827,5
4167118,327230861,8
4116661,359700791,11
344382,347087767,5
310634,364915876,5
901035,332424786,1
217227,350261034,7
852207,294655721,6
818451,389114998,17
818451,389114998,17
208037,362848738,6
1241084,308363153,6
632441,294708050,5
99342,391156717,8
58353,303132486,4
1040537,340845821,7
723107,338757134,8
1484635,346148461,5
1405033,384880166,4
1400178,339843968,6
541558,363963664,1
595331,347186181,8
1382194,338759766,6
1533143,340810685,7
2074314,349210365,5
1210368,333570866,8
1202667,359764613,6
1183195,335645230,2
2002620,356560746,3
1980572,345110833,8
1976871,354511797,6
2176564,332441223,3
2135864,389026126,1
1276449,401686462,17
1276449,401686462,17
2660755,294746493,6
2598626,335564498,6
2654780,294726913,3
2784202,401711517,17
2784202,401711517,17
2775615,365000167,4
2769794,356539897,1
2580026,363885786,8
1884459,338785377,10
1828330,294751743,3
1689029,327230861,8
3136642,353406104,3
3227586,335567179,3
1787896,362819724,8
1666158,303087157,5
2320034,303111941,10
2295182,401694124,8
3376906,333478811,1
3340972,389103272,1
2469996,340871210,12
3933066,362811327,12
2410852,347198617,1
3798878,340789680,2
3790942,339752056,4
3778970,338733297,6
3808408,337665322,2
3765014,303096087,1
87171,391127025,12
3527828,340874373,1
3462588,354456455,6
771839,401609993,6
757348,309436265,7
711243,392198204,5
472572,365011285,5
672832,345029913,3
2829068,340916484,7
3578588,332427778,8
3677770,354476210,11
203469,294673938,8
194222,340897379,7
4208486,356619871,11
1447817,364915932,3
906900,333522388,1
4169247,333557039,8
4162591,359772822,8
4085720,352389210,5
437551,327236034,11
1671745,303097555,9
346222,347106802,3
582106,392290408,3
571939,303096863,8
2686608,340829283,8
2654564,344062718,5
635661,392173030,6
2649744,309386623,16
2649744,309386623,16
2547055,294766849,5
1225456,346135739,18
1225456,346135739,18
1223929,339860537,6
2530745,332454597,3
2518590,348236629,8
2511305,345013016,4
1115558,340837376,10
2429086,309405008,3
2503081,362816702,4
2090366,294718727,4
2070769,333537749,6
2006178,335662790,1
2005219,308333120,3
1991234,356639321,2
3132182,350317894,6
985201,391123884,14
1665680,335637733,7
1632970,335597633,4
1609748,327224378,7
1598280,344051896,6
1556929,344004275,9
1550386,392173929,3
3710919,359677604,8
3824649,347106205,3
1685864,352372911,10
2291718,303136051,8
4212301,354509059,12
4190948,392195091,7
4182686,401728562,8
2217987,335633273,4
2198784,345093002,5
2230384,346036933,16
2230384,346036933,16
2189877,392245090,3
2544260,384917223,16
2544260,384917223,16
4174329,359750335,8
4125543,303049113,3
4123710,339742372,12
337475,294680166,8
601353,343961101,3
2813871,348173096,6
2787759,344010631,10
2825996,333514187,8
578486,327189063,1
526526,309460307,8
3420827,350309538,16
3420827,350309538,16
3447286,332526946,4
3515834,363900125,8
