node1,node2
859441,1651333
859441,2332397
859441,3296786
859441,667577
859441,2900949
859441,3572421
859441,3570271
859441,431849
859441,4132916
859441,2828000
859441,1304454
859441,1372527
859441,3460119
859441,3213246
859441,3154316
859441,2169669
859441,3905599
859441,1920782
859441,2298404
859441,3609850
859441,2574794
859441,2308498
859441,3450897
1969427,3801352
1969427,3297714
1969427,1720267
1969427,2153047
1969427,3822037
1969427,2911720
1969427,3440462
1969427,2354915
1969427,2337936
1969427,3572554
1969427,292288
1969427,1296560
1969427,659489
1969427,3400086
1969427,3327421
1969427,3850540
1651333,859441
1651333,2332397
1651333,3296786
1651333,667577
1651333,2900949
1651333,3572421
1651333,3570271
1651333,431849
1651333,4132916
1651333,2828000
1651333,1304454
1651333,1372527
1651333,3460119
1651333,3213246
1651333,3154316
1651333,2169669
1651333,3905599
1651333,1920782
1651333,2298404
1651333,3609850
1651333,2574794
1651333,2308498
1651333,3450897
3518677,1606252
3518677,517427
3518677,4020681
3518677,2313557
3518677,2033469
3518677,2560098
3518677,734100
3518677,3347260
3518677,3209898
3518677,1379991
3518677,3452410
3518677,601501
3518677,4196034
3518677,376078
3518677,2224147
3518677,2537147
3518677,3395254
3518677,2085894
2177839,3738921
2177839,4184965
2177839,896840
2177839,1100572
2177839,3841597
2177839,2242503
2177839,2444711
2177839,2954977
2310037,3100752
2310037,2444382
2310037,3601622
2310037,1320464
2310037,4088802
2310037,2189092
2310037,1315971
2310037,1524988
2310037,3898149
2310037,3583999
2310037,1322177
2310037,2384474
2310037,130774
2310037,4033109
2310037,3891488
2310037,119336
2310037,1835993
2310037,1294703
2310037,752516
2141781,3444900
2141781,1947155
2141781,1757902
2141781,2259400
2141781,3937254
2141781,1350039
2141781,2011480
2141781,897415
2141781,1062887
2141781,3866996
2141781,3360075
2141781,2294764
2141781,1704090
2141781,2870943
2141781,3649315
2141781,1367553
2141781,1563527
2141781,1794475
2141781,3154501
1533579,964003
1533579,4058592
1533579,629106
1533579,3579815
1533579,543884
1533579,208817
1533579,554688
1533579,2316707
1533579,2892490
1533579,2508880
1533579,1603970
1533579,841244
1533579,3260003
1533579,610562
1533579,476836
1533579,1734228
1533579,2888248
1533579,2620149
3100752,2310037
3100752,2444382
3100752,3601622
3100752,1320464
3100752,4088802
3100752,2189092
3100752,1315971
3100752,1524988
3100752,3898149
3100752,3583999
3100752,1322177
3100752,2384474
3100752,130774
3100752,4033109
3100752,3891488
3100752,119336
3100752,1835993
3100752,1294703
3100752,752516
517427,3518677
517427,1606252
517427,4020681
517427,2313557
517427,2033469
517427,2560098
517427,734100
517427,3347260
517427,3209898
517427,1379991
517427,3452410
517427,601501
517427,3517520
517427,4196034
517427,376078
517427,2224147
517427,2537147
517427,3395254
517427,2085894
3296786,859441
3296786,1651333
3296786,2332397
3296786,667577
3296786,2900949
3296786,3572421
3296786,3570271
3296786,431849
3296786,4132916
3296786,2828000
3296786,1304454
3296786,1372527
3296786,3460119
3296786,3213246
3296786,3154316
3296786,2169669
3296786,3905599
3296786,1920782
3296786,2298404
3296786,3609850
3296786,2574794
3296786,2308498
3296786,3450897
834598,3294178
834598,529896
834598,486579
834598,2284837
834598,983170
834598,3202064
2444382,2310037
2444382,3100752
2444382,3601622
2444382,1320464
2444382,4088802
2444382,2189092
2444382,1315971
2444382,1524988
2444382,3898149
2444382,3583999
2444382,1322177
2444382,2384474
2444382,130774
2444382,4033109
2444382,3891488
2444382,119336
2444382,1835993
2444382,1294703
2444382,752516
3535218,3380125
3535218,2983812
3535218,1904884
3535218,1639169
3535218,803165
3535218,1677446
3535218,3080830
3535218,2256190
3535218,2168448
3535218,2337170
3535218,3307154
3535218,3474059
3535218,515777
3535218,1873619
3535218,2568069
3535218,963042
3535218,2634975
3535218,2741664
3535218,1782354
3535218,1143543
3535218,2528148
3579815,964003
3579815,1533579
3579815,4058592
3579815,629106
3579815,543884
3579815,208817
3579815,554688
3579815,2892490
3579815,2508880
3579815,841244
3579815,3260003
3579815,610562
3579815,476836
3579815,1734228
3579815,2888248
3579815,2620149
3579815,2770695
2560098,3518677
2560098,1606252
2560098,517427
2560098,4020681
2560098,2313557
2560098,734100
2560098,3347260
2560098,3209898
2560098,1379991
2560098,3452410
2560098,601501
2560098,4196034
2560098,376078
2560098,2224147
2560098,2537147
2560098,3395254
2560098,2085894
1677446,3380125
1677446,2983812
1677446,1904884
1677446,1639169
1677446,803165
1677446,3535218
1677446,3080830
1677446,2256190
1677446,2168448
1677446,2337170
1677446,3307154
1677446,3474059
1677446,515777
1677446,1873619
1677446,2568069
1677446,963042
1677446,1974646
1677446,2634975
1677446,2741664
1677446,1782354
1677446,1143543
1677446,2528148
2272743,3774597
2272743,3614076
2272743,4192625
2272743,3226930
2272743,2551697
2523239,4021325
2476077,3774597
2476077,3614076
2476077,4192852
2476077,2521618
2476077,2551697
2476077,2859748
897415,2141781
897415,3444900
897415,1947155
897415,1757902
897415,2259400
897415,3937254
897415,1350039
897415,2011480
897415,1062887
897415,3866996
897415,3360075
897415,2294764
897415,1704090
897415,2870943
897415,3649315
897415,1367553
897415,1563527
897415,1794475
897415,3154501
841244,964003
841244,1533579
841244,4058592
841244,629106
841244,3579815
841244,543884
841244,208817
841244,554688
841244,2316707
841244,2892490
841244,2508880
841244,1603970
841244,3260003
841244,610562
841244,476836
841244,1734228
841244,2888248
841244,2620149
3841597,2177839
3841597,3738921
3841597,4184965
3841597,896840
3841597,1100572
3841597,2242503
3841597,2444711
3841597,2954977
963042,3380125
963042,2983812
963042,1904884
963042,1639169
963042,803165
963042,3535218
963042,1677446
963042,3080830
963042,2256190
963042,2168448
963042,2337170
963042,3307154
963042,3474059
963042,515777
963042,1873619
963042,2568069
963042,2634975
963042,2741664
963042,1782354
963042,1143543
963042,2528148
3395254,3518677
3395254,1606252
3395254,517427
3395254,4020681
3395254,2313557
3395254,2033469
3395254,2560098
3395254,734100
3395254,3347260
3395254,3209898
3395254,1379991
3395254,3452410
3395254,601501
3395254,4196034
3395254,376078
3395254,2224147
3395254,2537147
3395254,2085894
2444711,2177839
2444711,2743755
2444711,3114413
2444711,3738921
2444711,3866857
2444711,377387
2444711,2079856
2444711,4184965
2444711,1262713
2444711,3197190
2444711,896840
2444711,4021325
2444711,1100572
2444711,3841597
2444711,2242503
2444711,3373068
2444711,1000886
2444711,2954977
3644607,3294178
3644607,2637324
3644607,1286975
3644607,529896
3644607,465839
3644607,404040
3644607,2197902
3644607,807014
3644607,486579
3644607,1418199
3644607,983170
3644607,3956127
3644607,3202064
3644607,3140722
1367553,2141781
1367553,3444900
1367553,1947155
1367553,1757902
1367553,2259400
1367553,3937254
1367553,1350039
1367553,2011480
1367553,897415
1367553,1062887
1367553,3866996
1367553,3360075
1367553,2294764
1367553,1704090
1367553,2870943
1367553,3649315
1367553,1563527
1367553,1794475
1367553,3154501
2574794,859441
2574794,1651333
2574794,2332397
2574794,3296786
2574794,667577
2574794,2900949
2574794,3572421
2574794,3570271
2574794,431849
2574794,4132916
2574794,2828000
2574794,1304454
2574794,1372527
2574794,3460119
2574794,3213246
2574794,3154316
2574794,2169669
2574794,3905599
2574794,1920782
2574794,2298404
2574794,3609850
2574794,2308498
2574794,3450897
1000886,3114413
1000886,3738921
1000886,3866857
1000886,377387
1000886,2079856
1000886,4184965
1000886,1262713
1000886,3197190
1000886,4021325
1000886,2242503
1000886,3373068
1000886,2444711
1000886,2954977
3956127,3294178
3956127,562715
3956127,2637324
3956127,3684303
3956127,1286975
3956127,2318666
3956127,3397609
3956127,529896
3956127,465839
3956127,404040
3956127,2197902
3956127,807014
3956127,486579
3956127,1418199
3956127,983170
3956127,3644607
3956127,3202064
3956127,3140722
3202064,3294178
3202064,834598
3202064,562715
3202064,2637324
3202064,1100867
3202064,3684303
3202064,1286975
3202064,2318666
3202064,3397609
3202064,529896
3202064,465839
3202064,404040
3202064,2197902
3202064,807014
3202064,486579
3202064,1418199
3202064,983170
3202064,3644607
3202064,3956127
3202064,3089178
3202064,3140722
3089178,3294178
3089178,529896
3089178,1504269
3089178,486579
3089178,3202064
3801352,1969427
3801352,439723
3801352,1720267
3801352,2153047
3801352,2911720
3801352,3440462
3801352,2354915
3801352,2337936
3801352,292288
3801352,1296560
3801352,659489
3801352,3284264
3801352,3400086
3801352,3327421
3801352,3850540
2743755,3738921
2743755,2079856
2743755,4184965
2743755,2242503
2743755,2444711
2743755,2954977
3114413,3738921
3114413,3866857
3114413,377387
3114413,2079856
3114413,4184965
3114413,1262713
3114413,3197190
3114413,567662
3114413,4021325
3114413,2242503
3114413,3373068
3114413,2444711
3114413,1000886
3114413,2954977
964003,1533579
964003,4058592
964003,629106
964003,3579815
964003,543884
964003,208817
964003,554688
964003,2316707
964003,2892490
964003,2508880
964003,1603970
964003,841244
964003,3260003
964003,610562
964003,476836
964003,1734228
964003,2888248
964003,2620149
3444900,2141781
3444900,1947155
3444900,1757902
3444900,2259400
3444900,3937254
3444900,1350039
3444900,2011480
3444900,897415
3444900,1062887
3444900,3866996
3444900,3360075
3444900,2294764
3444900,1704090
3444900,2870943
3444900,3649315
3444900,1367553
3444900,1563527
3444900,1794475
3444900,3154501
3738921,2177839
3738921,2743755
3738921,3114413
3738921,3866857
3738921,377387
3738921,2079856
3738921,4184965
3738921,1262713
3738921,3197190
3738921,896840
3738921,4021325
3738921,1100572
3738921,3841597
3738921,2242503
3738921,3373068
3738921,2444711
3738921,1000886
3738921,2954977
2120198,3783737
3209898,3518677
3209898,1606252
3209898,517427
3209898,4020681
3209898,2313557
3209898,2033469
3209898,2560098
3209898,734100
3209898,3347260
3209898,1379991
3209898,3452410
3209898,601501
3209898,4196034
3209898,376078
3209898,2224147
3209898,2537147
3209898,3395254
3209898,2085894
1379991,3518677
1379991,1606252
1379991,517427
1379991,4020681
1379991,2313557
1379991,2560098
1379991,734100
1379991,3347260
1379991,3209898
1379991,3452410
1379991,601501
1379991,4196034
1379991,376078
1379991,2224147
1379991,2537147
1379991,3395254
1379991,2085894
3783737,2120198
3783737,3774597
3783737,3614076
3783737,2551697
3452410,3518677
3452410,1606252
3452410,517427
3452410,4020681
3452410,2313557
3452410,2560098
3452410,734100
3452410,3347260
3452410,3209898
3452410,1379991
3452410,601501
3452410,4196034
3452410,376078
3452410,2224147
3452410,2537147
3452410,3395254
3452410,2085894
3601622,2310037
3601622,3100752
3601622,2444382
3601622,1320464
3601622,4088802
3601622,2189092
3601622,1315971
3601622,1524988
3601622,3898149
3601622,3583999
3601622,1322177
3601622,2384474
3601622,130774
3601622,4033109
3601622,3891488
3601622,119336
3601622,1835993
3601622,1294703
3601622,752516
543884,964003
543884,1533579
543884,4058592
543884,629106
543884,3579815
543884,208817
543884,554688
543884,2316707
543884,2892490
543884,2508880
543884,1603970
543884,841244
543884,3260003
543884,610562
543884,476836
543884,1734228
543884,2888248
543884,2620149
2256190,3380125
2256190,2983812
2256190,1904884
2256190,1639169
2256190,803165
2256190,3535218
2256190,1677446
2256190,3080830
2256190,2168448
2256190,2337170
2256190,3307154
2256190,3474059
2256190,515777
2256190,1873619
2256190,2568069
2256190,963042
2256190,2634975
2256190,2741664
2256190,1782354
2256190,1143543
2256190,2528148
3822037,1969427
3822037,1720267
3822037,3440462
3822037,2354915
3822037,2337936
3822037,292288
3822037,1296560
3822037,3327421
208817,964003
208817,1533579
208817,4058592
208817,629106
208817,3579815
208817,543884
208817,554688
208817,2316707
208817,2892490
208817,2508880
208817,1603970
208817,841244
208817,3260003
208817,610562
208817,476836
208817,1734228
208817,2888248
208817,2620149
2337170,3380125
2337170,2983812
2337170,1904884
2337170,1639169
2337170,803165
2337170,3535218
2337170,1677446
2337170,3080830
2337170,2256190
2337170,2168448
2337170,3307154
2337170,3474059
2337170,515777
2337170,1873619
2337170,2568069
2337170,963042
2337170,2634975
2337170,2741664
2337170,1782354
2337170,1143543
2337170,2528148
2354915,1969427
2354915,3801352
2354915,439723
2354915,1775098
2354915,1720267
2354915,2153047
2354915,3822037
2354915,2911720
2354915,3440462
2354915,2337936
2354915,3572554
2354915,292288
2354915,1296560
2354915,659489
2354915,3284264
2354915,3400086
2354915,3327421
2354915,3850540
1062887,2141781
1062887,3444900
1062887,1947155
1062887,1757902
1062887,2259400
1062887,3937254
1062887,1350039
1062887,2011480
1062887,897415
1062887,3866996
1062887,3360075
1062887,2294764
1062887,1704090
1062887,2870943
1062887,3649315
1062887,1367553
1062887,1563527
1062887,1794475
1062887,3154501
2242503,2177839
2242503,2743755
2242503,3114413
2242503,3738921
2242503,3866857
2242503,377387
2242503,2079856
2242503,4184965
2242503,1262713
2242503,3197190
2242503,896840
2242503,4021325
2242503,1100572
2242503,3841597
2242503,3373068
2242503,2444711
2242503,1000886
2242503,2954977
1704090,2141781
1704090,3444900
1704090,1947155
1704090,1757902
1704090,2259400
1704090,3937254
1704090,1350039
1704090,2011480
1704090,897415
1704090,1062887
1704090,3866996
1704090,3360075
1704090,2294764
1704090,2870943
1704090,3649315
1704090,1367553
1704090,1563527
1704090,1794475
1704090,3154501
659489,1969427
659489,3801352
659489,1720267
659489,2153047
659489,2911720
659489,3440462
659489,2354915
659489,2337936
659489,292288
659489,1296560
659489,3400086
659489,3327421
659489,3850540
2870943,2141781
2870943,3444900
2870943,1947155
2870943,1757902
2870943,2259400
2870943,3937254
2870943,1350039
2870943,2011480
2870943,897415
2870943,1062887
2870943,3866996
2870943,3360075
2870943,2294764
2870943,1704090
2870943,3649315
2870943,1367553
2870943,1563527
2870943,1794475
2870943,3154501
3649315,2141781
3649315,3444900
3649315,1947155
3649315,1757902
3649315,2259400
3649315,3937254
3649315,1350039
3649315,2011480
3649315,897415
3649315,1062887
3649315,3866996
3649315,3360075
3649315,2294764
3649315,1704090
3649315,2870943
3649315,1367553
3649315,1563527
3649315,1794475
3649315,3154501
1734228,964003
1734228,1533579
1734228,4058592
1734228,629106
1734228,3579815
1734228,543884
1734228,208817
1734228,554688
1734228,2316707
1734228,2892490
1734228,2508880
1734228,1603970
1734228,841244
1734228,3260003
1734228,610562
1734228,476836
1734228,2888248
1734228,2620149
4020681,3518677
4020681,1606252
4020681,517427
4020681,2313557
4020681,2033469
4020681,2560098
4020681,734100
4020681,3347260
4020681,3209898
4020681,1379991
4020681,3452410
4020681,601501
4020681,3517520
4020681,4196034
4020681,376078
4020681,2224147
4020681,2537147
4020681,3395254
4020681,2085894
1947155,2141781
1947155,3444900
1947155,1757902
1947155,2259400
1947155,3937254
1947155,1350039
1947155,2011480
1947155,897415
1947155,1062887
1947155,3866996
1947155,3360075
1947155,2294764
1947155,1704090
1947155,2870943
1947155,3649315
1947155,1367553
1947155,1563527
1947155,1794475
1947155,3154501
562715,529896
562715,465839
562715,404040
562715,807014
562715,1418199
562715,983170
562715,3956127
562715,3202064
439723,3801352
439723,3440462
439723,2354915
667577,859441
667577,1651333
667577,2332397
667577,3296786
667577,2900949
667577,3572421
667577,3570271
667577,431849
667577,4132916
667577,2828000
667577,1304454
667577,1372527
667577,3460119
667577,3213246
667577,3154316
667577,2169669
667577,3905599
667577,1920782
667577,2298404
667577,3609850
667577,2574794
667577,2308498
667577,3450897
3380125,2983812
3380125,1904884
3380125,1639169
3380125,803165
3380125,3535218
3380125,1677446
3380125,3080830
3380125,2256190
3380125,2168448
3380125,2337170
3380125,3307154
3380125,3474059
3380125,515777
3380125,1873619
3380125,2568069
3380125,963042
3380125,2634975
3380125,2741664
3380125,1782354
3380125,1143543
3380125,2528148
3583999,2310037
3583999,3100752
3583999,2444382
3583999,3601622
3583999,1320464
3583999,4088802
3583999,2189092
3583999,1315971
3583999,1524988
3583999,3898149
3583999,1322177
3583999,2384474
3583999,130774
3583999,4033109
3583999,3891488
3583999,119336
3583999,1835993
3583999,1294703
3583999,752516
2508880,964003
2508880,1533579
2508880,4058592
2508880,629106
2508880,3579815
2508880,543884
2508880,208817
2508880,554688
2508880,2316707
2508880,2892490
2508880,1603970
2508880,841244
2508880,3260003
2508880,610562
2508880,476836
2508880,1734228
2508880,2888248
2508880,2620149
2521618,3774597
2521618,3614076
2521618,4192625
2521618,4192852
2521618,3209101
2521618,2476077
2521618,1074688
2521618,3226930
2521618,3024069
2521618,3655642
2521618,2551697
2521618,2859748
2521618,3431959
2011480,2141781
2011480,3444900
2011480,1947155
2011480,1757902
2011480,2259400
2011480,3937254
2011480,1350039
2011480,897415
2011480,1062887
2011480,3866996
2011480,3360075
2011480,2294764
2011480,1704090
2011480,2870943
2011480,3649315
2011480,1367553
2011480,1563527
2011480,1794475
2011480,3154501
1322177,2310037
1322177,3100752
1322177,2444382
1322177,3601622
1322177,1320464
1322177,4088802
1322177,2189092
1322177,1315971
1322177,1524988
1322177,3898149
1322177,3583999
1322177,2384474
1322177,130774
1322177,4033109
1322177,3891488
1322177,119336
1322177,1835993
1322177,1294703
1322177,752516
404040,3294178
404040,562715
404040,2637324
404040,3684303
404040,1286975
404040,2318666
404040,3397609
404040,529896
404040,465839
404040,2197902
404040,807014
404040,486579
404040,1418199
404040,983170
404040,3644607
404040,3956127
404040,3202064
404040,3140722
4021325,3114413
4021325,3738921
4021325,3866857
4021325,377387
4021325,2079856
4021325,4184965
4021325,1262713
4021325,3197190
4021325,2523239
4021325,2242503
4021325,3373068
4021325,2444711
4021325,1000886
4021325,2954977
2197902,3294178
2197902,2637324
2197902,1286975
2197902,529896
2197902,465839
2197902,404040
2197902,807014
2197902,486579
2197902,1418199
2197902,983170
2197902,3644607
2197902,3956127
2197902,3202064
2197902,3140722
807014,3294178
807014,562715
807014,2637324
807014,3684303
807014,1286975
807014,2318666
807014,3397609
807014,529896
807014,465839
807014,404040
807014,2197902
807014,486579
807014,1418199
807014,983170
807014,3644607
807014,3956127
807014,3202064
807014,3140722
807014,328869
1100572,2177839
1100572,3738921
1100572,4184965
1100572,896840
1100572,3841597
1100572,2242503
1100572,2444711
1100572,2954977
1603970,964003
1603970,1533579
1603970,4058592
1603970,629106
1603970,543884
1603970,208817
1603970,554688
1603970,2316707
1603970,2892490
1603970,2508880
1603970,841244
1603970,3260003
1603970,610562
1603970,476836
1603970,1734228
1603970,2888248
1603970,2620149
486579,3294178
486579,834598
486579,2637324
486579,1100867
486579,3684303
486579,1286975
486579,2318666
486579,3397609
486579,529896
486579,465839
486579,404040
486579,2197902
486579,807014
486579,1418199
486579,983170
486579,3644607
486579,3956127
486579,3202064
486579,3089178
486579,3140722
2652682,3209101
3661661,3774597
3661661,3614076
3661661,4192625
3661661,3226930
3661661,2551697
3140722,3294178
3140722,2637324
3140722,3684303
3140722,1286975
3140722,2318666
3140722,529896
3140722,465839
3140722,404040
3140722,2197902
3140722,807014
3140722,486579
3140722,1418199
3140722,983170
3140722,3644607
3140722,3956127
3140722,3202064
3140722,328869
2888248,964003
2888248,1533579
2888248,4058592
2888248,629106
2888248,3579815
2888248,543884
2888248,208817
2888248,554688
2888248,2316707
2888248,2892490
2888248,2508880
2888248,1603970
2888248,841244
2888248,3260003
2888248,610562
2888248,476836
2888248,1734228
2888248,2620149
2033469,3518677
2033469,517427
2033469,4020681
2033469,2313557
2033469,734100
2033469,3347260
2033469,3209898
2033469,601501
2033469,376078
2033469,2537147
2033469,3395254
1720267,1969427
1720267,3801352
1720267,2153047
1720267,3822037
1720267,2911720
1720267,3440462
1720267,2354915
1720267,2337936
1720267,3572554
1720267,292288
1720267,1296560
1720267,659489
1720267,3400086
1720267,3327421
1720267,3850540
1100867,3294178
1100867,2637324
1100867,529896
1100867,486579
1100867,983170
1100867,3202064
2153047,1969427
2153047,3801352
2153047,1775098
2153047,1720267
2153047,2911720
2153047,3440462
2153047,2354915
2153047,2337936
2153047,292288
2153047,1296560
2153047,659489
2153047,3400086
2153047,3327421
2153047,3850540
1639169,3380125
1639169,2983812
1639169,1904884
1639169,803165
1639169,3535218
1639169,1677446
1639169,3080830
1639169,2256190
1639169,2168448
1639169,2337170
1639169,3307154
1639169,3474059
1639169,515777
1639169,1873619
1639169,2568069
1639169,963042
1639169,2634975
1639169,2741664
1639169,1782354
1639169,1143543
1639169,2528148
1304454,859441
1304454,1651333
1304454,2332397
1304454,3296786
1304454,667577
1304454,2900949
1304454,3572421
1304454,3570271
1304454,431849
1304454,4132916
1304454,2828000
1304454,1372527
1304454,3460119
1304454,3213246
1304454,3154316
1304454,2169669
1304454,3905599
1304454,1920782
1304454,2298404
1304454,3609850
1304454,2574794
1304454,2308498
1304454,3450897
2318666,3294178
2318666,2637324
2318666,3684303
2318666,1286975
2318666,529896
2318666,465839
2318666,404040
2318666,807014
2318666,486579
2318666,983170
2318666,3956127
2318666,3202064
2318666,3140722
1320464,2310037
1320464,3100752
1320464,2444382
1320464,3601622
1320464,4088802
1320464,2189092
1320464,1315971
1320464,1524988
1320464,3898149
1320464,3583999
1320464,1322177
1320464,2384474
1320464,130774
1320464,4033109
1320464,3891488
1320464,119336
1320464,1835993
1320464,1294703
1320464,752516
3397609,3294178
3397609,2637324
3397609,1286975
3397609,529896
3397609,465839
3397609,404040
3397609,807014
3397609,486579
3397609,1418199
3397609,983170
3397609,3956127
3397609,3202064
529896,3294178
529896,834598
529896,562715
529896,2637324
529896,1100867
529896,3684303
529896,1286975
529896,2318666
529896,3397609
529896,465839
529896,404040
529896,2197902
529896,807014
529896,486579
529896,1418199
529896,983170
529896,3644607
529896,3956127
529896,3202064
529896,3089178
529896,3140722
3213246,859441
3213246,1651333
3213246,2332397
3213246,3296786
3213246,667577
3213246,2900949
3213246,3572421
3213246,3570271
3213246,431849
3213246,4132916
3213246,2828000
3213246,1304454
3213246,1372527
3213246,3460119
3213246,3154316
3213246,2169669
3213246,3905599
3213246,1920782
3213246,2298404
3213246,3609850
3213246,2574794
3213246,2308498
3213246,3450897
2168448,3380125
2168448,2983812
2168448,1904884
2168448,1639169
2168448,803165
2168448,3535218
2168448,1677446
2168448,3080830
2168448,2256190
2168448,2337170
2168448,3307154
2168448,3474059
2168448,515777
2168448,1873619
2168448,2568069
2168448,963042
2168448,2634975
2168448,2741664
2168448,1782354
2168448,1143543
2168448,2528148
2298404,859441
2298404,1651333
2298404,2332397
2298404,3296786
2298404,667577
2298404,2900949
2298404,3572421
2298404,3570271
2298404,431849
2298404,4132916
2298404,2828000
2298404,1304454
2298404,1372527
2298404,3460119
2298404,3213246
2298404,3154316
2298404,2169669
2298404,3905599
2298404,1920782
2298404,3609850
