node,Louvain,size
3801352,362856806,200
3801352,362856806,200
2743755,363968060,220
2743755,363968060,220
3114413,363968060,220
3114413,363968060,220
964003,348236099,200
964003,348236099,200
3444900,391195411,200
3444900,391195411,200
3738921,363968060,220
3738921,363968060,220
2120198,389076375,200
2120198,389076375,200
2900949,391219704,240
2900949,391219704,240
2313557,308309488,200
2313557,308309488,200
3297714,362856806,200
3297714,362856806,200
2983812,401686965,230
2983812,401686965,230
2102397,389076375,200
2102397,389076375,200
2079856,363968060,220
2079856,363968060,220
1757902,391195411,200
1757902,391195411,200
1904884,401686965,230
1904884,401686965,230
4058592,348236099,200
4058592,348236099,200
4184965,363968060,220
4184965,363968060,220
3572421,391219704,240
3572421,391219704,240
1775098,362856806,200
1775098,362856806,200
2337170,401686965,230
2337170,401686965,230
2354915,362856806,200
2354915,362856806,200
1062887,391195411,200
1062887,391195411,200
2242503,363968060,220
2242503,363968060,220
1418199,363883150,250
1418199,363883150,250
2537147,308309488,200
2537147,308309488,200
515777,401686965,230
515777,401686965,230
2294764,391195411,200
2294764,391195411,200
292288,362856806,200
292288,362856806,200
983170,363883150,250
983170,363883150,250
2568069,401686965,230
2568069,401686965,230
476836,348236099,200
476836,348236099,200
1296560,362856806,200
1296560,362856806,200
2308498,391219704,240
2308498,391219704,240
328869,363883150,250
328869,363883150,250
2620149,348236099,200
2620149,348236099,200
3024069,389076375,200
3024069,389076375,200
3655642,389076375,200
3655642,389076375,200
1563527,391195411,200
1563527,391195411,200
2634975,401686965,230
2634975,401686965,230
2551697,389076375,200
2551697,389076375,200
1794475,391195411,200
1794475,391195411,200
3327421,362856806,200
3327421,362856806,200
1606252,308309488,200
1606252,308309488,200
3774597,389076375,200
3774597,389076375,200
3294178,363883150,250
3294178,363883150,250
2332397,391219704,240
2332397,391219704,240
3866857,363968060,220
3866857,363968060,220
377387,363968060,220
377387,363968060,220
1372527,391219704,240
1372527,391219704,240
3614076,389076375,200
3614076,389076375,200
3197190,363968060,220
3197190,363968060,220
629106,348236099,200
629106,348236099,200
803165,401686965,230
803165,401686965,230
3460119,391219704,240
3460119,391219704,240
3209898,308309488,200
3209898,308309488,200
1379991,308309488,200
1379991,308309488,200
3783737,389076375,200
3783737,389076375,200
3452410,308309488,200
3452410,308309488,200
3601622,392248348,200
3601622,392248348,200
543884,348236099,200
543884,348236099,200
2256190,401686965,230
2256190,401686965,230
3822037,362856806,200
3822037,362856806,200
208817,348236099,200
208817,348236099,200
3583999,392248348,200
3583999,392248348,200
2508880,348236099,200
2508880,348236099,200
2521618,389076375,200
2521618,389076375,200
2011480,391195411,200
2011480,391195411,200
1322177,392248348,200
1322177,392248348,200
404040,363883150,250
404040,363883150,250
4021325,363968060,220
4021325,363968060,220
2197902,363883150,250
2197902,363883150,250
807014,363883150,250
807014,363883150,250
1100572,363968060,220
1100572,363968060,220
1603970,348236099,200
1603970,348236099,200
486579,363883150,250
486579,363883150,250
1533579,348236099,200
1533579,348236099,200
3100752,392248348,200
3100752,392248348,200
517427,308309488,200
517427,308309488,200
3296786,391219704,240
3296786,391219704,240
834598,363883150,250
834598,363883150,250
3684303,363883150,250
3684303,363883150,250
3937254,391195411,200
3937254,391195411,200
734100,308309488,200
734100,308309488,200
3080830,401686965,230
3080830,401686965,230
1286975,363883150,250
1286975,363883150,250
3347260,308309488,200
3347260,308309488,200
3209101,389076375,200
3209101,389076375,200
3905599,391219704,240
