node,Louvain,size
3738921,397433133,220
3738921,397433133,220
2743755,397433133,220
2743755,397433133,220
3114413,397433133,220
3114413,397433133,220
1639169,435170445,230
1639169,435170445,230
1100867,397467346,250
1100867,397467346,250
1304454,424733440,240
1304454,424733440,240
465839,397467346,250
465839,397467346,250
2169669,424733440,240
2169669,424733440,240
3154316,424733440,240
3154316,424733440,240
2736525,397433133,220
2736525,397433133,220
896840,397433133,220
896840,397433133,220
1504269,397467346,250
1504269,397467346,250
4021325,397433133,220
4021325,397433133,220
1100572,397433133,220
1100572,397433133,220
2197902,397467346,250
2197902,397467346,250
807014,397467346,250
807014,397467346,250
486579,397467346,250
486579,397467346,250
404040,397467346,250
404040,397467346,250
2337170,435170445,230
2337170,435170445,230
2242503,397433133,220
2242503,397433133,220
3307154,435170445,230
3307154,435170445,230
3474059,435170445,230
3474059,435170445,230
1920782,424733440,240
1920782,424733440,240
1873619,435170445,230
1873619,435170445,230
3373068,397433133,220
3373068,397433133,220
2298404,424733440,240
2298404,424733440,240
3609850,424733440,240
3609850,424733440,240
2284837,397467346,250
2284837,397467346,250
3080830,435170445,230
3080830,435170445,230
1286975,397467346,250
1286975,397467346,250
3684303,397467346,250
3684303,397467346,250
515777,435170445,230
515777,435170445,230
1418199,397467346,250
1418199,397467346,250
1974646,435170445,230
1974646,435170445,230
3450897,424733440,240
3450897,424733440,240
2528148,435170445,230
2528148,435170445,230
2954977,397433133,220
2954977,397433133,220
1262713,397433133,220
1262713,397433133,220
2637324,397467346,250
2637324,397467346,250
431849,424733440,240
431849,424733440,240
2828000,424733440,240
2828000,424733440,240
3570271,424733440,240
3570271,424733440,240
4132916,424733440,240
4132916,424733440,240
2568069,435170445,230
2568069,435170445,230
983170,397467346,250
983170,397467346,250
3380125,435170445,230
3380125,435170445,230
562715,397467346,250
562715,397467346,250
667577,424733440,240
667577,424733440,240
2168448,435170445,230
2168448,435170445,230
3397609,397467346,250
3397609,397467346,250
529896,397467346,250
529896,397467346,250
2318666,397467346,250
2318666,397467346,250
3213246,424733440,240
3213246,424733440,240
3535218,435170445,230
3535218,435170445,230
1677446,435170445,230
1677446,435170445,230
3841597,397433133,220
3841597,397433133,220
2523239,397433133,220
2523239,397433133,220
2634975,435170445,230
2634975,435170445,230
2308498,424733440,240
2308498,424733440,240
328869,397467346,250
328869,397467346,250
2741664,435170445,230
2741664,435170445,230
1782354,435170445,230
1782354,435170445,230
1143543,435170445,230
1143543,435170445,230
2177839,397433133,220
2177839,397433133,220
859441,424733440,240
859441,424733440,240
1651333,424733440,240
1651333,424733440,240
377387,397433133,220
377387,397433133,220
3866857,397433133,220
3866857,397433133,220
3294178,397467346,250
3294178,397467346,250
2332397,424733440,240
2332397,424733440,240
2256190,435170445,230
2256190,435170445,230
1904884,435170445,230
1904884,435170445,230
2983812,435170445,230
2983812,435170445,230
4184965,397433133,220
4184965,397433133,220
2079856,397433133,220
2079856,397433133,220
3572421,424733440,240
3572421,424733440,240
2900949,424733440,240
2900949,424733440,240
567662,397433133,220
567662,397433133,220
3905599,424733440,240
3905599,424733440,240
3140722,397467346,250
3140722,397467346,250
834598,397467346,250
834598,397467346,250
3296786,424733440,240
3296786,424733440,240
803165,435170445,230
803165,435170445,230
3197190,397433133,220
3197190,397433133,220
3460119,424733440,240
3460119,424733440,240
1372527,424733440,240
1372527,424733440,240
963042,435170445,230
963042,435170445,230
1000886,397433133,220
1000886,397433133,220
2444711,397433133,220
2444711,397433133,220
3089178,397467346,250
3089178,397467346,250
3956127,397467346,250
3956127,397467346,250
3202064,397467346,250
3202064,397467346,250
3644607,397467346,250
3644607,397467346,250
2574794,424733440,240
2574794,424733440,240
4047690,435250053,8.04769
3472723,422667562,4.47272
3897992,380753867,10.898
3794173,383810864,4.79417
1205597,435236127,8.2056
2134915,381712331,8.13491
3071355,424713383,12.0714
968604,397460132,3.9686
1803850,385969083,5.80385
818396,328269705,2.8184
1673735,365975307,5.67373
1607549,381774993,4.60755
4005108,397519687,8.00511
3833526,398524276,4.83353
3157321,379647934,5.15732
2410089,424730528,10.4101
400259,341932980,4.40026
1044894,377544649,4.04489
3039518,397529449,9.03952
1181187,425816134,4.18119
1475619,385969227,12.4756
3805558,424713383,12.8056
764319,382781498,5.76432
162203,418486611,6.1622
1454001,377581016,5.454
3062929,341923545,4.06293
470428,372266302,7.47043
3236192,372256483,14.2362
581125,398532036,2.58113
3997144,398511416,5.99714
1066501,435259358,5.0665
1375132,397467956,2.37513
2768974,373386687,3.76897
2377661,425816134,5.37766
3675044,336721752,6.67504
2532396,424715434,5.5324
2382749,387041469,8.38275
1716887,422656524,2.71689
